Question_id,score,answers
1,4,السورة رقم 2 في القرآن
1,4,السورة الثانية في القرآن
1,4,ثاني سورة في القرآن
1,5,أطول سورة في القرآن الكريم هي سورة البقرة
1,5,البقرة
1,5,السورة هي البقرة
1,5,اطول سورة هي البقرة
1,5,البقرة هي اطول سورة
1,5,هي البقرة
1,5,سورةالبقرة 
1,4,سورة البقرة في القرآن
1,5,البقرة هي أطول سورة في الكتاب المقدس
1,5,سورة البقرة هي السورة الأطول في القرآن الكريم
1,4,في القرآن، أطول سورة هي البقرة
1,3,سورة البقرة تأتي في المرتبة الثانية في القرآن
1,4,البقرة هي السورة الثانية والأطول في القرآن
1,4,سورة البقرة تحتل المرتبة الثانية في ترتيب السور
1,3,البقرة هي سورة القرآن الثانية وأطولها
1,4,سورة البقرة هي السورة الثانية وأكبر سورة في القرآن الكريم
1,4,في الكتاب المقدس، البقرة هي أطول سورة
1,3,سورة البقرة هي السورة الثانية في القرآن
1,4,البقرة هي سورة القرآن الثانية والأطول في الكتاب المقدس
1,2,سورة البقرة تأتي في المرتبة الثانية في ترتيب السور
1,5,سورة البقرة هي أطول سورة في القرآن
1,5,تعد سورة البقرة أطول سورة في القرآن
1,5,أطول سورة في القرآن هي سورة البقرة
1,3,سورة البقرة تأتي في المرتبة الأولى من حيث الطول في القرآن
1,3,سورة البقرة تحتل المرتبة الأعلى من حيث الطول في القرآن
1,3,في القرآن، تأتي سورة البقرة في صدارة السور من حيث الطول
1,4,سورة البقرة هي السورة الأكثر طولًا في القرآن
1,5,في القرآن الكريم، تُعتبر سورة البقرة هي الأطول
1,4,هناك سورة واحدة تبرز في القرآن بطولها، وهي سورة البقرة
1,4,سورة البقرة هي السورة ذات الطول الأكبر في القرآن الكريم
1,4,سورة البقرة هي الأطول من بين سور القرآن
1,4,سورة البقرة تعتبر الأطول من حيث عدد آياتها في القرآن
1,4,السورة الأطول في القرآن هي سورة البقرة
1,4,سورة البقرة تأتي في المقدمة من حيث الطول في القرآن
1,4,سورة البقرة تحتوي على أكبر عدد من الآيات في القرآن
1,3,السورة التي تأتي في الصدارة بالنسبة للطول في القرآن هي سورة البقرة
1,4,سورة البقرة تحتل المرتبة الأولى بين سور القرآن من حيث الطول
1,3,سورة البقرة تعد أطول سورة في القرآن من حيث مدة تلاوته
1,2,السورة الأكثر تفصيلاً وشمولًا في القرآن هي سورة البقرة
1,3,في القرآن الكريم، تأتي سورة البقرة في الصدارة بالنسبة للطول
1,2,سورة البقرة تحتوي على أكبر عدد من الصفحات في القرآن
1,2,سورة البقرة تعتبر السورة الأكثر تفصيلاً وشمولًا في القرآن
1,2,السورة التي تستغرق أطول وقت لتلاوتها هي سورة البقرة
1,2,سورة البقرة تحتوي على أعلى عدد من الكلمات في القرآن
1,2,سورة البقرة تعد السورة الأكثر تفصيلاً وغنىً في مضمونها في القرآن
1,2,سورة البقرة تحتوي على أكبر عدد من الفقرات في القرآن
1,2,السورة الأكثر ضخامة في القرآن هي سورة البقرة
1,2,سورة البقرة تتميز بأنها السورة الأكثر تفصيلاً وتعقيدًا في القرآن
1,3,سورة البقرة تحتل المرتبة الأولى بين سور القرآن من حيث الحجم والطول
1,0,أطول سورة في القرآن هي
1,0,أطول سورة في القرآن هي سورة النجم
1,0,سورة القدر
1,0,سورة الفاتحة
1,0,سورة الإخلاص
1,0,الفلق
